freq,unit,schedule,tra_cov,tra_meas,rep_airp\TIME_PERIOD	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 
M,PAS,TOT,TOTAL,PAS_CRD,BG_LBPD	: 	: 	: 	: 	19325 	21048 	21010 	12426 	13095 	13911 	11673 	11611 	14497 	16539 	18749 	25987 
M,PAS,TOT,TOTAL,PAS_CRD,BG_LBSF	731254 	708562 	590434 	630559 	581750 	584624 	683778 	721594 	736364 	705038 	713929 	764423 	764126 	767946 	642242 	716870 
M,PAS,TOT,TOTAL,PAS_CRD,BG_LBWN	196390 	119547 	62511 	66063 	62817 	56835 	69312 	108753 	135124 	223645 	295471 	323444 	227895 	142413 	97483 	108261 
M,PAS,TOT,TOTAL,PAS_CRD,CH_LFSB	795846 	827576 	535874 	622970 	422112 	510521 	584078 	792876 	807634 	821920 	858669 	914463 	848109 	903567 	569480 	710179 
M,PAS,TOT,TOTAL,PAS_CRD,CH_LSGG	1468432 	1488149 	1056544 	1446362 	1447219 	1469486 	1600160 	1507037 	1379734 	1462786 	1660238 	1663240 	1431204 	1519368 	1079078 	1538599 
M,PAS,TOT,TOTAL,PAS_CRD,CH_LSGS	2107 	1409 	1100 	1805 	1798 	2778 	2411 	1186 	1892 	2056 	2480 	2034 	2660 	1263 	493 	2150 
M,PAS,TOT,TOTAL,PAS_CRD,CH_LSZA	386 	202 	145 	165 	100 	102 	202 	240 	244 	512 	393 	377 	244 	254 	173 	167 
M,PAS,TOT,TOTAL,PAS_CRD,CH_LSZB	11225 	4607 	754 	915 	858 	671 	533 	531 	2394 	10168 	9627 	10090 	11245 	4505 	583 	692 
M,PAS,TOT,TOTAL,PAS_CRD,CH_LSZH	2944973 	2967462 	2191773 	2370746 	2080393 	2033180 	2351956 	2776587 	2773061 	2929684 	3252939 	3264454 	3044438 	3165371 	2348892 	2543951 
M,PAS,TOT,TOTAL,PAS_CRD,CH_LSZR	9428 	6866 	4111 	3582 	3784 	3967 	4541 	5031 	6694 	9133 	8428 	2510 	9733 	7330 	4574 	3253 
M,PAS,TOT,TOTAL,PAS_CRD,CY_LCLK	1003975 	954117 	510906 	484309 	408948 	396329 	498587 	804973 	921550 	1053701 	1200097 	1300357 	1097684 	1050616 	615598 	: 
M,PAS,TOT,TOTAL,PAS_CRD,CY_LCPH	401474 	379515 	202709 	169615 	141370 	137414 	205215 	351390 	359659 	379052 	451235 	500926 	434747 	432435 	243691 	: 
M,PAS,TOT,TOTAL,PAS_CRD,CZ_LKCS	10847 	941 	4 	522 	920 	532 	0 	0 	1073 	12895 	18582 	17005 	12795 	2299 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,CZ_LKKV	5000 	10 	27 	22 	0 	25 	44 	22 	40 	3080 	6213 	5457 	2876 	209 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,CZ_LKMT	75472 	28457 	5817 	8584 	5909 	5884 	9898 	17373 	27668 	79992 	101589 	101262 	71576 	28230 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,CZ_LKPD	31985 	9321 	3114 	3558 	3776 	1820 	0 	0 	0 	35501 	48587 	49140 	37501 	15472 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,CZ_LKPR	1624071 	1460975 	1176699 	1336377 	968358 	1015300 	1208846 	1369594 	1499032 	1696576 	1867752 	1885680 	1753224 	1627280 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,CZ_LKTB	117162 	43712 	11480 	9922 	6675 	13101 	16807 	25317 	36831 	118614 	153199 	150434 	113029 	41903 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDB	2475473 	2560739 	1900264 	1941608 	1562066 	1712291 	1952741 	2225806 	2315460 	2288014 	2366641 	2440777 	2500337 	2658969 	2008782 	2003077 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDC	96991 	99161 	64937 	49309 	36175 	42859 	58303 	78205 	83504 	85453 	89567 	89129 	94948 	114869 	62387 	47043 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDE	23374 	33703 	9079 	3293 	1858 	2859 	4535 	29569 	29397 	35311 	42367 	48031 	44739 	57893 	14846 	2383 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDF	5835777 	5678566 	4630629 	4512507 	3927205 	3842570 	4620312 	5338342 	5581853 	5783135 	6126796 	6322262 	5963846 	6016018 	4819320 	4758900 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDG	156827 	170367 	57216 	38211 	32621 	35192 	56880 	122672 	143277 	139405 	161478 	160119 	153556 	159255 	55813 	42632 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDH	1485537 	1580723 	1034036 	1003588 	845708 	859044 	1035432 	1243514 	1364356 	1345003 	1453112 	1482741 	1458569 	1561409 	1071819 	1049788 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDK	1048545 	1117456 	623255 	618863 	490367 	490707 	614363 	848367 	950119 	982177 	1084468 	1143145 	1052589 	1133068 	623878 	634192 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDL	2051433 	2082893 	1336234 	1271139 	1113405 	1093901 	1362622 	1805258 	1973385 	2003007 	2203063 	2271485 	2152674 	2253574 	1422857 	1354777 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDM	4068344 	3966862 	3169481 	3033781 	2577160 	2406092 	3105851 	3649790 	3931586 	4099860 	4276670 	4385780 	4343029 	4171622 	3250708 	3168162 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDN	444918 	431315 	249441 	243787 	202059 	207354 	269219 	363217 	388094 	473992 	455922 	526014 	498697 	506453 	307318 	289215 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDP	251861 	280487 	137608 	103255 	91957 	96534 	128067 	173667 	199876 	213882 	233269 	241420 	235986 	300332 	114523 	81999 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDR	50367 	46695 	11749 	5032 	4522 	5139 	8230 	18658 	27108 	41565 	44494 	47532 	48056 	45907 	9864 	6148 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDS	1000217 	940994 	599089 	577593 	474051 	471159 	588894 	783088 	897111 	993827 	965692 	1114383 	1038167 	1000561 	629713 	615351 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDV	589097 	651967 	346301 	280562 	240974 	234272 	313412 	481774 	500211 	498369 	563769 	568458 	586590 	671117 	372118 	301786 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDDW	181272 	199623 	143273 	135080 	114747 	116405 	144850 	169545 	186071 	180953 	199288 	195687 	193990 	207813 	146644 	135093 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDFH	177733 	168367 	133965 	152414 	133909 	132576 	163471 	188812 	194694 	195979 	202968 	224716 	204993 	217389 	134353 	159839 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDJA	309187 	314201 	229852 	258857 	233878 	201429 	277636 	314711 	325541 	339743 	338917 	387077 	355790 	358670 	245702 	289742 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDLP	105232 	120320 	27499 	12916 	12734 	13246 	27575 	62951 	71375 	80303 	97161 	99170 	104640 	110738 	21167 	8415 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDLV	218814 	209398 	106834 	110111 	104207 	113955 	139984 	199329 	229393 	232856 	232066 	246862 	230899 	237757 	135427 	142355 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDLW	297743 	320794 	224048 	240734 	222796 	216822 	236554 	242996 	269072 	293516 	307850 	337353 	313738 	327710 	228423 	240791 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDNY	26198 	20606 	5678 	5394 	9176 	6524 	9178 	11817 	20411 	30208 	26052 	32990 	28339 	27573 	11794 	12367 
M,PAS,TOT,TOTAL,PAS_CRD,DE_EDSB	187728 	188601 	119205 	134628 	106025 	106988 	148170 	198082 	212346 	230523 	237234 	260539 	234721 	234042 	128803 	159402 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKAH	54718 	53968 	31793 	29706 	25125 	27894 	31930 	42713 	54316 	56947 	51759 	55885 	58457 	53391 	33180 	31863 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKBI	403248 	394101 	226976 	222165 	205875 	210594 	240853 	217191 	262770 	286416 	349963 	307282 	294575 	275966 	199399 	166973 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKCH	2818980 	2746689 	2178522 	2171320 	1945688 	1977617 	2224135 	2675458 	2880298 	3117328 	3328044 	3200425 	3084301 	3056485 	2415157 	2450336 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKEB	5297 	5965 	5043 	4596 	3899 	3551 	4074 	4662 	4672 	5070 	4784 	3889 	4273 	4247 	4027 	3073 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKKA	761 	440 	612 	1060 	283 	560 	441 	261 	572 	483 	0 	0 	284 	126 	466 	346 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKRK	726 	613 	392 	660 	248 	387 	301 	597 	1062 	986 	1618 	1804 	800 	593 	378 	270 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKRN	14401 	12225 	10614 	9197 	9036 	8168 	10220 	11494 	13900 	20291 	13016 	13877 	15036 	13400 	11122 	9300 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKSB	5819 	6357 	5676 	5007 	3439 	3913 	4905 	5269 	6611 	6217 	4376 	5056 	6311 	5936 	6766 	5345 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKTS	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,DK_EKYT	154445 	145491 	104596 	91012 	90053 	88221 	105168 	113831 	134889 	140047 	133915 	142658 	158955 	152951 	116870 	103219 
M,PAS,TOT,TOTAL,PAS_CRD,EE_EETN	331328 	335846 	248048 	260162 	219039 	216315 	262919 	279028 	310706 	325640 	322736 	331636 	310919 	348126 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGAL	24557 	26254 	27255 	27836 	24831 	23163 	25977 	25818 	25491 	28746 	30237 	28481 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGAV	3276601 	2997443 	2122417 	2095441 	1815311 	1735119 	2204297 	2696961 	3072356 	3436046 	3733230 	3858307 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGBL	4312 	574 	0 	99 	0 	0 	0 	0 	3764 	6314 	7331 	8434 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGHI	28348 	25631 	22226 	23684 	20940 	18961 	22035 	25300 	24568 	29831 	36249 	41274 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGIK	9035 	5262 	3055 	3240 	2910 	2597 	3131 	4362 	5321 	8729 	9946 	11048 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGIO	14278 	9479 	8445 	7519 	7256 	6786 	8172 	7740 	12348 	18507 	17524 	18474 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGIR	1414245 	1066533 	225752 	154956 	137039 	125418 	159549 	595850 	1054092 	1395805 	1692052 	1789502 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKA	188 	252 	208 	250 	190 	97 	201 	300 	203 	223 	390 	438 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKC	4992 	2330 	1477 	1386 	1396 	1586 	1720 	2284 	2534 	4553 	6162 	5925 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKF	150444 	40624 	3878 	2195 	3712 	3008 	3866 	15120 	84450 	159046 	207161 	210196 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKJ	1036 	636 	179 	160 	135 	124 	259 	414 	539 	1286 	1325 	1432 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKL	55804 	37876 	6891 	1382 	980 	1050 	5135 	14863 	36100 	55420 	65700 	69043 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKO	489259 	346533 	35769 	23528 	21148 	17822 	22177 	76917 	356975 	503470 	596224 	631530 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKP	48521 	13358 	3691 	3622 	3086 	3272 	3694 	6422 	17602 	44325 	57846 	64239 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKR	719829 	396683 	28440 	19430 	9924 	23112 	29755 	170558 	445514 	745803 	925286 	973199 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKS	456 	205 	105 	187 	131 	118 	119 	198 	172 	664 	485 	771 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKV	49895 	19302 	6530 	5960 	1645 	5819 	6699 	10603 	24802 	54607 	57648 	64655 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKY	1817 	1455 	823 	758 	689 	383 	793 	1501 	1246 	1308 	1988 	2487 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGKZ	355 	414 	264 	363 	241 	309 	494 	438 	372 	263 	382 	352 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGLE	3511 	1300 	1161 	1016 	1072 	524 	1153 	1483 	1343 	3497 	4506 	4678 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGLM	19833 	10461 	7158 	7299 	5714 	5225 	7180 	7683 	12846 	22642 	28800 	31275 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGMG	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGMK	251124 	96168 	14158 	7738 	6672 	4326 	12768 	46274 	127400 	252484 	378156 	393105 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGML	18573 	8898 	2416 	1839 	1814 	1458 	2504 	4431 	11823 	20731 	22472 	22098 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGMT	72281 	39777 	27368 	27090 	24924 	22757 	27581 	35947 	51462 	74501 	85392 	87875 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGNX	31119 	17443 	5908 	5060 	5610 	4461 	2255 	12676 	21645 	38349 	43148 	43309 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGPA	51807 	29899 	10966 	8829 	8503 	8270 	11131 	19485 	39170 	56419 	68314 	65694 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGPL	3775 	1453 	847 	669 	660 	753 	856 	1293 	1544 	3541 	5365 	5937 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGPZ	148733 	51892 	1936 	372 	212 	159 	424 	10362 	81938 	157814 	199202 	203034 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGRP	1057918 	790056 	115764 	66624 	56027 	59538 	81135 	376214 	792047 	1054051 	1256166 	1322797 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGRX	30624 	12686 	0 	0 	0 	0 	0 	626 	15521 	30235 	39564 	39384 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGSA	594005 	408004 	77862 	71007 	63744 	60455 	75975 	199039 	434756 	618343 	748570 	730032 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGSK	107340 	17540 	1579 	1219 	1189 	1113 	1656 	3428 	49580 	120264 	162280 	163904 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGSM	76322 	33525 	4450 	13766 	12265 	11898 	12582 	19161 	47099 	74126 	87307 	91898 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGSO	1761 	1236 	953 	933 	1013 	887 	1008 	1465 	1274 	3222 	3945 	3727 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGSR	424601 	292778 	65487 	37314 	18662 	24383 	40036 	129182 	249546 	346474 	449950 	465192 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGST	9318 	6621 	2236 	2377 	2204 	1452 	2195 	3059 	3425 	6024 	7433 	12258 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGSY	2705 	990 	358 	409 	270 	330 	756 	698 	771 	2961 	3725 	4130 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGTS	773701 	688155 	485982 	523796 	439297 	423048 	511000 	626024 	710868 	769832 	871323 	907948 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,EL_LGZA	399374 	147655 	5909 	4015 	3715 	1183 	4543 	32152 	225910 	406918 	519179 	526854 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,ES_GCFV	512842 	553435 	579390 	558597 	541434 	552040 	634430 	573803 	507026 	527695 	610383 	624194 	552578 	584091 	569837 	542769 
M,PAS,TOT,TOTAL,PAS_CRD,ES_GCHI	30744 	27498 	26604 	25488 	22720 	21872 	23529 	24834 	24749 	25828 	30428 	34006 	28489 	26415 	25811 	23514 
M,PAS,TOT,TOTAL,PAS_CRD,ES_GCLA	119351 	120164 	128456 	132063 	125925 	118057 	139886 	128942 	117347 	116505 	133863 	138901 	121213 	122875 	132705 	133755 
M,PAS,TOT,TOTAL,PAS_CRD,ES_GCLP	1111988 	1296778 	1421604 	1441399 	1360394 	1325561 	1481618 	1344475 	1153239 	1170531 	1277071 	1283632 	1176373 	1317590 	1411135 	1439676 
M,PAS,TOT,TOTAL,PAS_CRD,ES_GCRR	703424 	755354 	745585 	730476 	698291 	703462 	796200 	742805 	686648 	712422 	796394 	823064 	706460 	759692 	748721 	717331 
M,PAS,TOT,TOTAL,PAS_CRD,ES_GCTS	993455 	1144697 	1283591 	1277298 	1276358 	1237511 	1369090 	1152437 	982246 	986247 	1075925 	1102544 	991267 	1157380 	1277616 	1263432 
M,PAS,TOT,TOTAL,PAS_CRD,ES_GCXO	586773 	588646 	563361 	575615 	521228 	502395 	578868 	593277 	613176 	620192 	671946 	686223 	632690 	621934 	565714 	579395 
M,PAS,TOT,TOTAL,PAS_CRD,ES_GEML	42718 	42419 	38332 	45210 	38458 	37718 	39422 	43068 	45544 	46962 	47485 	50734 	45847 	46534 	43392 	45259 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEAL	1800040 	1795234 	1276468 	1215746 	1056575 	1166271 	1474377 	1730783 	1849245 	1919445 	2105875 	2097325 	1905349 	1901022 	1409441 	1317830 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEAM	84339 	69221 	38071 	36678 	31335 	40435 	53643 	69278 	77119 	87503 	95787 	95871 	87461 	70497 	44321 	42585 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEAS	186814 	172489 	141736 	154067 	131909 	129416 	157778 	166010 	176387 	190643 	208368 	205253 	191171 	182004 	152109 	154567 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEBB	663092 	625100 	482656 	490676 	368874 	413594 	529881 	616703 	681045 	684979 	689017 	677831 	676676 	672730 	526187 	521087 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEBL	5052254 	4952332 	4038431 	4063725 	3686149 	3748998 	4348322 	4894348 	5166497 	5288306 	5532446 	5666901 	5273046 	5234109 	4246218 	4298629 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LECO	110098 	105475 	100577 	105603 	94663 	98514 	110095 	107441 	111764 	109893 	113579 	107679 	108875 	117271 	108187 	107620 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEGE	304240 	201867 	41368 	48931 	38401 	38741 	57320 	205164 	250429 	307575 	326740 	348936 	298591 	218374 	40172 	51124 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEGR	92107 	97470 	95043 	102764 	93571 	95563 	104305 	93504 	96724 	94057 	86684 	87959 	92778 	105104 	97116 	106110 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEIB	1216842 	847572 	251255 	240041 	210865 	213631 	287002 	650301 	1028044 	1257014 	1443960 	1479024 	1224662 	831464 	260032 	235780 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEJR	106653 	100493 	50317 	43757 	32890 	37072 	53152 	65648 	98941 	95519 	100975 	105842 	102068 	98337 	49941 	38083 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEMD	5841661 	5667397 	5280921 	5449460 	5183475 	4812519 	5493994 	5585870 	5724478 	5817469 	6158465 	6233067 	5911334 	6021616 	5481285 	5619865 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEMG	2499268 	2425586 	1608698 	1571177 	1363974 	1519946 	1893996 	2382525 	2580746 	2628883 	2864383 	2859731 	2623335 	2572891 	1747601 	1673805 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEMH	576353 	352650 	108112 	102881 	86400 	93184 	119802 	244945 	428880 	614415 	722717 	751095 	572492 	357377 	113846 	98083 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEMI	108509 	93551 	31262 	33781 	30099 	30579 	37001 	91631 	103779 	110365 	123601 	126512 	112371 	95278 	44835 	41351 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEPA	4072311 	3489085 	1199839 	1082846 	909631 	1056888 	1550534 	3008128 	3820384 	4228975 	4592916 	4698153 	4111492 	3499935 	1214842 	1098663 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEPP	18730 	18310 	18073 	17300 	16930 	16498 	18926 	21133 	19525 	19488 	20482 	18513 	19981 	21047 	19922 	20323 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LERS	178388 	126268 	3519 	24 	533 	10 	3522 	115877 	188734 	207683 	220130 	231290 	206308 	144570 	4716 	99 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LESO	47659 	43209 	35375 	31204 	27744 	28575 	37592 	40185 	45718 	48638 	48083 	45688 	44758 	44067 	31826 	32395 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEST	326805 	304484 	234347 	244654 	188893 	185581 	244108 	283678 	299818 	308947 	339444 	344690 	302601 	274520 	157686 	178007 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEVC	1056976 	1009941 	693497 	792582 	705366 	758441 	962517 	1037213 	1052515 	1078111 	1129449 	1177873 	1068229 	1088982 	869241 	892070 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEVD	14478 	18090 	8209 	13412 	7658 	6974 	8408 	7045 	8109 	3102 	5407 	6469 	6134 	10139 	7590 	10160 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEVT	25167 	25429 	16110 	18841 	18518 	13466 	17643 	36795 	32642 	24011 	27591 	28393 	25338 	31199 	21823 	26852 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEVX	100372 	91499 	87859 	95265 	78883 	78145 	89862 	86546 	92732 	94040 	103955 	111611 	93226 	91327 	95889 	97303 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEXJ	107005 	96901 	64613 	67401 	58940 	65075 	75443 	100839 	105845 	100608 	111337 	117680 	99211 	98623 	63795 	70474 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEZG	64590 	61760 	47235 	54534 	43896 	43832 	52178 	67569 	64637 	61219 	70980 	74166 	63086 	66090 	47837 	51057 
M,PAS,TOT,TOTAL,PAS_CRD,ES_LEZL	794586 	836836 	734762 	747361 	654528 	723064 	873236 	860652 	888432 	789792 	760358 	773884 	820768 	901639 	811533 	812053 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFHK	1446887 	1479555 	1274594 	1328823 	1206384 	1183506 	1316887 	1375414 	1501042 	1594986 	1611055 	1577118 	1480360 	1526977 	1294328 	1412805 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFIV	7775 	7295 	21288 	70040 	36950 	41768 	38480 	11281 	2954 	5051 	5112 	6116 	7415 	6682 	15905 	72176 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFJO	3968 	4869 	3383 	3067 	2530 	3193 	3357 	4213 	3862 	3330 	2404 	3391 	4098 	4855 	3455 	2799 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFJY	3147 	3843 	2422 	1450 	1615 	2150 	2240 	2733 	2915 	1985 	514 	2234 	3473 	4281 	2492 	1699 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFKE	3233 	5108 	2911 	2847 	2373 	2797 	2988 	2507 	3451 	2616 	1714 	2167 	3258 	4358 	3104 	3496 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFKI	3995 	3618 	3241 	3788 	3339 	3882 	3800 	2942 	3540 	3223 	2902 	3454 	4261 	4055 	3835 	4130 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFKK	3108 	5086 	2884 	2121 	1976 	2222 	2462 	3045 	3493 	2805 	300 	2253 	3235 	5340 	2725 	2450 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFKS	2789 	2925 	5453 	37153 	22605 	25296 	17086 	3829 	1950 	2407 	2588 	2899 	3334 	2666 	5676 	39748 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFKT	8448 	5461 	23275 	121472 	78260 	84244 	78285 	23103 	2526 	3733 	4286 	5351 	6858 	6490 	25206 	129572 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFKU	14433 	13871 	12416 	10608 	10820 	11332 	12794 	13026 	13801 	11103 	8262 	10596 	13206 	15169 	12897 	11508 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFMA	4924 	3691 	3199 	2359 	2760 	2683 	3274 	3548 	4142 	4199 	3316 	3911 	4243 	4595 	3319 	2318 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFOU	55664 	57367 	51525 	46250 	42742 	43950 	47101 	43306 	53257 	41789 	31927 	41470 	51250 	55226 	48808 	46917 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFPO	1287 	3102 	1017 	567 	691 	822 	998 	1457 	1330 	776 	32 	717 	1287 	3258 	876 	668 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFRO	37658 	47669 	102123 	272128 	176806 	159323 	126052 	31517 	27568 	28249 	28167 	31776 	36393 	48778 	118787 	310149 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFSA	604 	1101 	516 	369 	405 	358 	540 	375 	494 	726 	971 	398 	630 	840 	629 	439 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFTP	13121 	12728 	11832 	12725 	8064 	9271 	11465 	10288 	10984 	13938 	16619 	10809 	11940 	12350 	11658 	12852 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFTU	23322 	23941 	16808 	18788 	15851 	15085 	20503 	23005 	23179 	26066 	21224 	22566 	23492 	29314 	25744 	33762 
M,PAS,TOT,TOTAL,PAS_CRD,FI_EFVA	17195 	17199 	15536 	14993 	12653 	11793 	14364 	14118 	15747 	15066 	14471 	13794 	15099 	17048 	13933 	12498 
M,PAS,TOT,TOTAL,PAS_CRD,FR_FMCZ	33582 	35411 	29444 	24750 	40633 	29674 	29039 	31176 	34253 	36124 	56801 	: 	: 	: 	: 	: 
M,PAS,TOT,TOTAL,PAS_CRD,FR_FMEE	201984 	260232 	219175 	268792 	261284 	154253 	206494 	191908 	225693 	193614 	292841 	: 	: 	: 	: 	: 
